Date,DayOfWeek,PriceToSydney,PriceToBrisbane,PriceToPerth,PriceToDarwin,PriceToAdelaide,PriceToCanberra,PriceToHobart,,,,,,
18/09/2024,Wednesday,$679,No flights,$406,$372,$203,No flights,No flights,,,,,,
19/09/2024,Thursday,$322,$410,$373,$372,$124,$179,$366,,,,,,
20/09/2024,Friday,$473,$410,$509,$372,$203,$308,$432,,,,,,
21/09/2024,Saturday,$327,$472,$373,$418,$268,$250,$307,,,,,,
22/09/2024,Sunday,$270,$472,$339,$523,$381,$514,$366,,,,,,
23/09/2024,Monday,$158,$472,$454,$474,$144,$281,$202,,,,,,
24/09/2024,Tuesday,$84,$436,$313,$418,$144,$514,$111,,,,,,
25/09/2024,Wednesday,$84,$394,$373,$418,$144,$116,$148,,,,,,
26/09/2024,Thursday,$127,$410,$373,$418,$144,$179,$202,,,,,,
27/09/2024,Friday,$84,$356,$313,$326,$203,$225,$202,,,,,,
28/09/2024,Saturday,$90,$356,$288,$372,$144,$179,$111,,,,,,
29/09/2024,Sunday,$198,$410,$373,$418,$313,$411,$100,,,,,,
30/09/2024,Monday,$113,$304,$313,$418,$144,$204,$89,,,,,,
1/10/2024,Tuesday,$79,$181,$222,$326,$86,$131,$67,,,,,,
2/10/2024,Wednesday,$79,$117,$222,$372,$70,$77,$67,,,,,,
3/10/2024,Thursday,$113,$107,$262,$286,$76,$100,$67,,,,,,
4/10/2024,Friday,$176,$107,$242,$326,$144,$179,$78,,,,,,
5/10/2024,Saturday,$127,$100,$199,$326,$76,$225,$67,,,,,,
6/10/2024,Sunday,$99,$137,$373,$326,$144,$225,$67,,,,,,
7/10/2024,Monday,$113,$157,$339,$248,$203,$514,$67,,,,,,
8/10/2024,Tuesday,$79,$107,$288,$179,$124,$515,$67,,,,,,
9/10/2024,Wednesday,$79,$95,$262,$179,$107,$204,$67,,,,,,
10/10/2024,Thursday,$79,$107,$199,$194,$144,$179,$67,,,,,,
11/10/2024,Friday,$99,$100,$199,$179,$203,$225,$78,,,,,,
12/10/2024,Saturday,$113,$107,$199,$179,$172,$179,$67,,,,,,
13/10/2024,Sunday,$141,$181,$199,$248,$172,$281,$67,,,,,,
14/10/2024,Monday,$113,$210,$262,$248,$237,$250,$121,,,,,,
15/10/2024,Tuesday,$79,$137,$242,$194,$144,$116,$78,,,,,,
16/10/2024,Wednesday,$79,$117,$199,$179,$86,$150,$67,,,,,,
17/10/2024,Thursday,$79,$137,$199,$194,$96,$90,$67,,,,,,
18/10/2024,Friday,$99,$157,$199,$179,$172,$131,$89,,,,,,
19/10/2024,Saturday,$84,$157,$199,$179,$86,$90,$67,,,,,,
20/10/2024,Sunday,$127,$238,$288,$228,$107,$250,$78,,,,,,
21/10/2024,Monday,$99,$137,$313,$179,$107,$131,$67,,,,,,
22/10/2024,Tuesday,$79,$107,$261,$179,$76,$77,$67,,,,,,
23/10/2024,Wednesday,$79,$117,$288,$179,$124,$77,$89,,,,,,
24/10/2024,Thursday,$90,$117,$262,$179,$96,$77,$100,,,,,,
25/10/2024,Friday,$113,$157,$222,$179,$76,$77,$78,,,,,,
26/10/2024,Saturday,$79,$157,$222,$179,$70,$100,$67,,,,,,
27/10/2024,Sunday,$113,$137,$242,$286,$107,$384,$89,,,,,,
28/10/2024,Monday,$113,$117,$242,$210,$124,$204,$78,,,,,,
29/10/2024,Tuesday,$99,$117,$199,$394,$96,$82,$78,,,,,,
30/10/2024,Wednesday,$99,$157,$222,$337,$96,$100,$89,,,,,,
31/10/2024,Thursday,$99,$226,$313,$228,$203,$90,$182,,,,,,
1/11/2024,Friday,$176,$303,$339,$210,$268,$150,$131,,,,,,
2/11/2024,Saturday,$113,$303,$339,$179,$268,$179,$78,,,,,,
3/11/2024,Sunday,$176,$351,$339,$194,$268,$308,$67,,,,,,
4/11/2024,Monday,$141,$271,$222,$210,$237,$204,$67,,,,,,
5/11/2024,Tuesday,$90,$183,$199,$387,$107,$100,$111,,,,,,
6/11/2024,Wednesday,$113,$181,$222,$426,$107,$77,$100,,,,,,
7/11/2024,Thursday,$90,$210,$222,$210,$107,$116,$121,,,,,,
8/11/2024,Friday,$113,$157,$199,$210,$107,$77,$131,,,,,,
9/11/2024,Saturday,$79,$137,$199,$179,$107,$77,$89,,,,,,
10/11/2024,Sunday,$99,$181,$199,$194,$107,$179,$78,,,,,,
11/11/2024,Monday,$99,$117,$222,$210,$107,$116,$100,,,,,,
12/11/2024,Tuesday,$79,$157,$222,$372,$86,$77,$78,,,,,,
13/11/2024,Wednesday,$84,$117,$199,$352,$86,$77,$100,,,,,,
14/11/2024,Thursday,$99,$137,$199,$194,$124,$77,$111,,,,,,
15/11/2024,Friday,$99,$157,$199,$179,$144,$116,$148,,,,,,
16/11/2024,Saturday,$79,$137,$222,$194,$124,$90,$131,,,,,,
17/11/2024,Sunday,$90,$181,$262,$210,$172,$250,$131,,,,,,
18/11/2024,Monday,$99,$157,$262,$210,$124,$360,$121,,,,,,
19/11/2024,Tuesday,$79,$137,$313,$423,$144,$150,$121,,,,,,
20/11/2024,Wednesday,$99,$157,$288,$381,$86,$90,$100,,,,,,
21/11/2024,Thursday,$113,$181,$242,$210,$86,$90,$148,,,,,,
22/11/2024,Friday,$113,$157,$222,$210,$144,$100,$148,,,,,,
23/11/2024,Saturday,$127,$157,$222,$194,$107,$90,$111,,,,,,
24/11/2024,Sunday,$113,$181,$222,$228,$124,$179,$89,,,,,,
25/11/2024,Monday,$127,$157,$222,$228,$107,$179,$100,,,,,,
26/11/2024,Tuesday,$79,$117,$222,$328,$76,$77,$78,,,,,,
27/11/2024,Wednesday,$79,$95,$222,$317,$76,$77,$89,,,,,,
28/11/2024,Thursday,$79,$117,$199,$210,$76,$77,$111,,,,,,
29/11/2024,Friday,$90,$137,$199,$272,$107,$82,$121,,,,,,
30/11/2024,Saturday,$79,$157,$199,$179,$86,$100,$89,,,,,,
1/12/2024,Sunday,$99,$157,$222,$228,$96,$225,$100,,,,,,
2/12/2024,Monday,$113,$117,$262,$228,$86,$116,$89,,,,,,
3/12/2024,Tuesday,$79,$107,$242,$310,$70,$100,$67,,,,,,
4/12/2024,Wednesday,$79,$137,$199,$300,$70,$90,$67,,,,,,
5/12/2024,Thursday,$90,$137,$199,$210,$107,$116,$111,,,,,,
6/12/2024,Friday,$113,$157,$199,$179,$144,$82,$111,,,,,,
7/12/2024,Saturday,$99,$137,$199,$179,$144,$116,$100,,,,,,
8/12/2024,Sunday,$99,$157,$222,$228,$124,$82,$100,,,,,,
9/12/2024,Monday,$99,$100,$199,$248,$86,$77,$100,,,,,,
10/12/2024,Tuesday,$79,$107,$199,$290,$70,$116,$67,,,,,,
11/12/2024,Wednesday,$79,$100,$199,$300,$70,$82,$78,,,,,,
12/12/2024,Thursday,$79,$117,$199,$210,$70,$116,$89,,,,,,
13/12/2024,Friday,$113,$137,$199,$179,$86,$77,$111,,,,,,
14/12/2024,Saturday,$99,$107,$222,$179,$96,$77,$89,,,,,,
15/12/2024,Sunday,$113,$107,$288,$228,$124,$116,$89,,,,,,
16/12/2024,Monday,$113,$117,$288,$210,$86,$100,$100,,,,,,
17/12/2024,Tuesday,$79,$117,$288,$179,$86,$100,$78,,,,,,
18/12/2024,Wednesday,$79,$137,$313,$228,$86,$116,$67,,,,,,
19/12/2024,Thursday,$113,$181,$339,$228,$96,$116,$67,,,,,,
20/12/2024,Friday,$127,$210,$373,$286,$124,$131,$100,,,,,,
21/12/2024,Saturday,$127,$238,$406,$248,$144,$179,$162,,,,,,
22/12/2024,Sunday,$141,$238,$406,$286,$144,$179,$121,,,,,,
23/12/2024,Monday,$127,$238,$373,$286,$144,$100,$111,,,,,,
24/12/2024,Tuesday,$127,$210,$339,$194,$107,$131,$111,,,,,,
25/12/2024,Wednesday,$99,$181,$288,$228,$86,$77,$89,,,,,,
26/12/2024,Thursday,$127,$238,$313,$248,$144,$77,$111,,,,,,
27/12/2024,Friday,$141,$238,$339,$272,$124,$100,$148,,,,,,
28/12/2024,Saturday,$198,$238,$339,$272,$144,$90,$111,,,,,,
29/12/2024,Sunday,$176,$210,$313,$306,$124,$90,$111,,,,,,
30/12/2024,Monday,$230,$210,$313,$272,$96,$150,$111,,,,,,
31/12/2024,Tuesday,$127,$181,$313,$272,$86,$131,$111,,,,,,
1/01/2025,Wednesday,$127,$157,$313,$306,$86,$131,$67,,,,,,
2/01/2025,Thursday,$127,$157,$313,$306,$124,$179,$78,,,,,,
3/01/2025,Friday,$127,$157,$313,$346,$172,$179,$78,,,,,,
4/01/2025,Saturday,$127,$157,$313,$306,$172,$150,$78,,,,,,
5/01/2025,Sunday,$127,$181,$313,$346,$144,$150,$67,,,,,,
6/01/2025,Monday,$127,$137,$313,$306,$124,$150,$67,,,,,,
7/01/2025,Tuesday,$127,$107,$222,$248,$86,$116,$67,,,,,,
8/01/2025,Wednesday,$79,$107,$199,$272,$76,$90,$78,,,,,,
9/01/2025,Thursday,$90,$107,$199,$248,$107,$100,$100,,,,,,
10/01/2025,Friday,$90,$117,$199,$248,$107,$131,$67,,,,,,
11/01/2025,Saturday,$113,$107,$199,$228,$144,$179,$67,,,,,,
12/01/2025,Sunday,$127,$107,$199,$248,$124,$150,$67,,,,,,
13/01/2025,Monday,$99,$107,$199,$248,$124,$116,$67,,,,,,
14/01/2025,Tuesday,$79,$107,$199,$248,$96,$131,$67,,,,,,
15/01/2025,Wednesday,$79,$107,$199,$248,$86,$100,$67,,,,,,
16/01/2025,Thursday,$99,$107,$199,$248,$96,$100,$67,,,,,,
17/01/2025,Friday,$90,$117,$199,$248,$124,$179,$67,,,,,,
18/01/2025,Saturday,$113,$107,$199,$248,$144,$150,$67,,,,,,
19/01/2025,Sunday,$127,$107,$222,$248,$144,$179,$67,,,,,,
20/01/2025,Monday,$127,$107,$222,$248,$124,$131,$67,,,,,,
21/01/2025,Tuesday,$79,$107,$242,$248,$124,$131,$67,,,,,,
22/01/2025,Wednesday,$79,$107,$222,$272,$86,$116,$67,,,,,,
23/01/2025,Thursday,$99,$107,$242,$248,$107,$116,$67,,,,,,
24/01/2025,Friday,$113,$117,$242,$194,$124,$131,$100,,,,,,
25/01/2025,Saturday,$113,$107,$222,$194,$144,$179,$100,,,,,,
26/01/2025,Sunday,$127,$107,$242,$210,$144,$179,$100,,,,,,
27/01/2025,Monday,$127,$137,$313,$248,$124,$204,$67,,,,,,
28/01/2025,Tuesday,$90,$95,$313,$401,$86,$131,$78,,,,,,
29/01/2025,Wednesday,$79,$95,$313,$306,$65,$116,$78,,,,,,
30/01/2025,Thursday,$84,$100,$199,$228,$70,$116,$100,,,,,,
31/01/2025,Friday,$79,$100,$199,$194,$76,$116,$67,,,,,,
1/02/2025,Saturday,$113,$117,$199,$194,$107,$131,$100,,,,,,
2/02/2025,Sunday,$113,$107,$199,$210,$96,$150,$78,,,,,,
3/02/2025,Monday,$90,$137,$199,$210,$86,$204,$89,,,,,,
4/02/2025,Tuesday,$79,$95,$199,$300,$65,$100,$67,,,,,,
5/02/2025,Wednesday,$79,$95,$242,$290,$65,$77,$78,,,,,,
6/02/2025,Thursday,$79,$107,$199,$228,$70,$116,$111,,,,,,
7/02/2025,Friday,$90,$117,$199,$328,$96,$116,$121,,,,,,
8/02/2025,Saturday,$99,$117,$199,$194,$107,$131,$89,,,,,,
9/02/2025,Sunday,$99,$107,$199,$228,$124,$150,$89,,,,,,
10/02/2025,Monday,$90,$107,$199,$248,$86,$131,$89,,,,,,
11/02/2025,Tuesday,$79,$95,$242,$317,$65,$90,$67,,,,,,
12/02/2025,Wednesday,$79,$95,$199,$280,$65,$77,$67,,,,,,
13/02/2025,Thursday,$79,$107,$222,$210,$107,$116,$89,,,,,,
14/02/2025,Friday,$84,$137,$199,$277,$107,$179,$121,,,,,,
15/02/2025,Saturday,$84,$117,$199,$210,$107,$116,$89,,,,,,
16/02/2025,Sunday,$99,$107,$199,$210,$96,$131,$78,,,,,,
17/02/2025,Monday,$90,$117,$199,$228,$76,$288,$78,,,,,,
18/02/2025,Tuesday,$79,$107,$199,$317,$65,$90,$67,,,,,,
19/02/2025,Wednesday,$79,$117,$199,$286,$65,$77,$67,,,,,,
20/02/2025,Thursday,$79,$107,$199,$228,$65,$100,$89,,,,,,
21/02/2025,Friday,$90,$137,$199,$297,$107,$150,$121,,,,,,
22/02/2025,Saturday,$99,$117,$199,$210,$107,$116,$78,,,,,,
23/02/2025,Sunday,$99,$107,$199,$228,$96,$150,$78,,,,,,
24/02/2025,Monday,$99,$117,$199,$228,$86,$288,$78,,,,,,
25/02/2025,Tuesday,$79,$95,$199,$317,$65,$82,$67,,,,,,
26/02/2025,Wednesday,$79,$95,$242,$273,$65,$82,$67,,,,,,
27/02/2025,Thursday,$79,$107,$262,$228,$70,$131,$89,,,,,,
28/02/2025,Friday,$84,$137,$199,$305,$96,$131,$111,,,,,,
1/03/2025,Saturday,$90,$107,$222,$248,$96,$131,$89,,,,,,
2/03/2025,Sunday,$113,$107,$222,$272,$107,$150,$78,,,,,,
3/03/2025,Monday,$90,$117,$222,$272,$144,$131,$89,,,,,,
4/03/2025,Tuesday,$79,$95,$199,$403,$96,$131,$67,,,,,,
5/03/2025,Wednesday,$79,$95,$242,$310,$124,$82,$67,,,,,,
6/03/2025,Thursday,$99,$95,$262,$248,$124,$116,$89,,,,,,
7/03/2025,Friday,$127,$137,$199,$364,$172,$131,$121,,,,,,
8/03/2025,Saturday,$90,$137,$222,$210,$172,$131,$89,,,,,,
9/03/2025,Sunday,$113,$157,$222,$272,$124,$179,$100,,,,,,
10/03/2025,Monday,$90,$107,$222,$272,$144,$150,$89,,,,,,
11/03/2025,Tuesday,$79,$95,$242,$367,$86,$116,$67,,,,,,
12/03/2025,Wednesday,$79,$95,$222,$284,$70,$100,$67,,,,,,
13/03/2025,Thursday,$79,$100,$222,$306,$65,$116,$89,,,,,,
14/03/2025,Friday,$99,$137,$199,$346,$96,$131,$111,,,,,,
15/03/2025,Saturday,$99,$137,$222,$248,$86,$116,$89,,,,,,
16/03/2025,Sunday,$127,$137,$262,$346,$96,$131,$78,,,,,,
17/03/2025,Monday,$230,$238,$313,$341,$172,$250,$89,,,,,,
18/03/2025,Tuesday,$113,$137,$262,$365,$86,$90,$67,,,,,,
19/03/2025,Wednesday,$79,$117,$222,$290,$65,$82,$78,,,,,,
20/03/2025,Thursday,$79,$107,$222,$346,$65,$100,$89,,,,,,
21/03/2025,Friday,$84,$137,$199,$322,$96,$131,$111,,,,,,
22/03/2025,Saturday,$84,$100,$222,$210,$86,$116,$89,,,,,,
23/03/2025,Sunday,$113,$117,$222,$272,$107,$150,$78,,,,,,
24/03/2025,Monday,$90,$107,$222,$255,$86,$131,$89,,,,,,
25/03/2025,Tuesday,$79,$95,$242,$317,$65,$224,$67,,,,,,
26/03/2025,Wednesday,$79,$95,$199,$284,$65,$77,$78,,,,,,
27/03/2025,Thursday,$79,$95,$199,$210,$65,$116,$89,,,,,,
28/03/2025,Friday,$90,$107,$199,$326,$86,$150,$111,,,,,,
